bathrooms,bedrooms,latitude,longitude,price,photos_num,description_len,features_len,Elevator,Cats Allowed,Hardwood Floors,Dogs Allowed,Doorman,Dishwasher,No Fee,Laundry in Building,Fitness Center,Pre-War,Laundry in Unit,Roof Deck,Outdoor Space,Dining Room,High Speed Internet,Balcony,Swimming Pool,Laundry In Building,New Construction,Terrace,studio,created_delta,building_id_ct,manager_id_ct,interest_level
1.0,1,40.7108,-73.9539,2400,12,81,7,0,1,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,-2054187.3,5,112,1
1.0,2,40.7575,-73.9625,3495,6,124,6,1,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,-2068080.1,71,93,1
1.5,3,40.7145,-73.9425,3000,5,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1984353.6,3,90,1
1.0,0,40.7439,-73.9743,2795,4,46,4,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,-1951257.7,86,55,0
1.0,3,40.7348,-73.9865,7200,5,137,6,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1950485.4,110,169,0
2.0,3,40.7302,-73.9826,6000,7,75,5,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-2123150.4,44,162,0
1.0,0,40.7769,-73.9467,1945,5,62,5,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-2149389.8,20,122,2
0.0,1,40.7346,-73.9811,2435,4,55,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2115107.7,1,36,0
3.0,3,40.699,-73.9943,6850,11,202,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1951402.2,2,36,0
1.0,0,40.7723,-73.951,2785,4,75,5,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-2159151.3,30,34,0
1.0,2,40.753,-73.9959,3100,5,113,12,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,-2184891.8,152,6,0
1.0,0,40.761,-73.999,2400,4,91,11,1,0,1,0,1,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,1,-1976589.0,103,115,1
2.0,2,40.7633,-73.9596,5465,10,34,8,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-2097932.1,26,39,0
1.0,0,40.7073,-73.9665,3150,10,66,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2018070.8,5,21,0
1.0,2,40.7528,-73.9709,3750,7,127,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2098084.0,38,12,0
1.0,3,40.736,-73.986,4450,7,141,11,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,-2053537.2,1,1,2
1.0,1,40.7621,-73.9486,2495,3,24,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1977986.4,8286,8,0
2.0,2,40.7456,-74.0053,5975,6,69,4,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2107170.4,41,13,0
1.0,1,40.7685,-73.9895,4960,7,137,10,1,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,-2072711.8,10,711,0
1.0,1,40.7709,-73.9496,2700,4,97,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-2114766.8,10,214,1
2.0,3,40.7352,-73.9832,5500,7,60,4,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-2014862.9,18,8,0
1.0,2,40.7084,-74.0048,5425,4,64,5,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-2147213.2,8286,93,0
1.0,2,40.7735,-73.9509,3250,6,147,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1942242.1,11,44,0
1.0,0,40.7708,-73.9576,2350,4,101,4,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-1943036.9,7,114,0
1.0,2,40.7585,-73.9913,3395,4,117,11,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,-2184608.9,49,2533,0
1.0,2,40.7223,-73.9966,4000,8,112,4,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,-1976350.4,7,107,0
1.0,0,40.7743,-73.9875,1495,3,33,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2055169.5,45,114,2
